Prompt,Similarist_gt
"<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]
<extraction>: <START> Slow ReadProcessor read fields took <*>ms (threshold=<*>ms); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>] <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:shouldBlockLocation  ret:true
<extraction>: <START> shouldBlockLocation  ret:true <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:clients6.google.com:443 close, 1891 bytes (1.84 KB) sent, 811 bytes received, lifetime 04:00
<extraction>: <START> <*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*> <END>

","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>"
"<prompt>:Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005
<extraction>: <START> Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*> <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1625423, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]
<extraction>: <START> <*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>] <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml
<extraction>: <START> The job-conf file on the remote FS is <*> <END>

<prompt>:MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724
<extraction>: <START> <*> (v001 DELL PE BKC <*> MSFT <*>) @ <*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005
<extraction>: <START> Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*> <END>

<prompt>:Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]
<extraction>: <START> Slow ReadProcessor read fields took <*>ms (threshold=<*>ms); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>] <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:shouldBlockLocation  ret:true
<extraction>: <START> shouldBlockLocation  ret:true <END>

<prompt>:MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724
<extraction>: <START> <*> (v001 DELL PE BKC <*> MSFT <*>) @ <*> <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:clients6.google.com:443 close, 1891 bytes (1.84 KB) sent, 811 bytes received, lifetime 04:00
<extraction>: <START> <*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

","polled file major <*>, minor <*>, blocksize <*>, pollers <*>"
"<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

<prompt>:clients6.google.com:443 close, 1891 bytes (1.84 KB) sent, 811 bytes received, lifetime 04:00
<extraction>: <START> <*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*> <END>

","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>"
"<prompt>:Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]
<extraction>: <START> Slow ReadProcessor read fields took <*>ms (threshold=<*>ms); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>] <END>

<prompt>:reverse mapping checking getaddrinfo for 191-210-223-172.user.vivozap.com.br [191.210.223.172] failed - POSSIBLE BREAK-IN ATTEMPT!
<extraction>: <START> reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT! <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]
<extraction>: <START> Slow ReadProcessor read fields took <*>ms (threshold=<*>ms); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>] <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]
<extraction>: <START> Slow ReadProcessor read fields took <*>ms (threshold=<*>ms); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>] <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:clients6.google.com:443 close, 1891 bytes (1.84 KB) sent, 811 bytes received, lifetime 04:00
<extraction>: <START> <*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*> <END>

<prompt>:shouldBlockLocation  ret:true
<extraction>: <START> shouldBlockLocation  ret:true <END>

<prompt>:Received disconnect from 60.2.12.12: 11: Bye Bye [preauth]
<extraction>: <START> Received disconnect from <*>: <*>: Bye Bye [preauth] <END>

",Received disconnect from <*>: <*>: Bye Bye [preauth]
"<prompt>:shouldBlockLocation  ret:true
<extraction>: <START> shouldBlockLocation  ret:true <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

<prompt>:clients6.google.com:443 close, 1891 bytes (1.84 KB) sent, 811 bytes received, lifetime 04:00
<extraction>: <START> <*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

","<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
"<prompt>:Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005
<extraction>: <START> Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*> <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:Found block rdd_30_3 locally
<extraction>: <START> Found block rdd_<*> locally <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]
<extraction>: <START> Slow ReadProcessor read fields took <*>ms (threshold=<*>ms); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>] <END>

<prompt>:Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005
<extraction>: <START> Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"<prompt>:Found block rdd_30_3 locally
<extraction>: <START> Found block rdd_<*> locally <END>

<prompt>:Received disconnect from 60.2.12.12: 11: Bye Bye [preauth]
<extraction>: <START> Received disconnect from <*>: <*>: Bye Bye [preauth] <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

<prompt>:clients6.google.com:443 close, 1891 bytes (1.84 KB) sent, 811 bytes received, lifetime 04:00
<extraction>: <START> <*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*> <END>

","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>"
"<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
<extraction>: <START> Connecting to driver: spark://<*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

<prompt>:clients6.google.com:443 close, 1891 bytes (1.84 KB) sent, 811 bytes received, lifetime 04:00
<extraction>: <START> <*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*> <END>

","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>"
"<prompt>:Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]
<extraction>: <START> Slow ReadProcessor read fields took <*>ms (threshold=<*>ms); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>] <END>

<prompt>:Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005
<extraction>: <START> Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*> <END>

<prompt>:polled file major 1, minor 0, blocksize 4096, pollers 5
<extraction>: <START> polled file major <*>, minor <*>, blocksize <*>, pollers <*> <END>

<prompt>:10.11.21.123,10.11.10.1 ""GET /latest/meta-data/placement/ HTTP/1.1"" status: 200 len: 134 time: 0.3841610
<extraction>: <START> <*> ""GET <*>"" status: <*> len: <*> time: <*>.<*> <END>

<prompt>:Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
<extraction>: <START> Block <*> stored as bytes in memory (estimated size <*>, free <*>) <END>

","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
